"filename", "language", "Dart", "HTML", "YAML", "Markdown", "C++", "Swift", "JSON", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\WORK\FlutterFlix\Code\flutterflix\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\WORK\FlutterFlix\Code\flutterflix\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 3, 12, 64
"c:\WORK\FlutterFlix\Code\flutterflix\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\WORK\FlutterFlix\Code\flutterflix\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 11, 1, 42
"c:\WORK\FlutterFlix\Code\flutterflix\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\WORK\FlutterFlix\Code\flutterflix\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\WORK\FlutterFlix\Code\flutterflix\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\WORK\FlutterFlix\Code\flutterflix\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\WORK\FlutterFlix\Code\flutterflix\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\WORK\FlutterFlix\Code\flutterflix\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\WORK\FlutterFlix\Code\flutterflix\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"c:\WORK\FlutterFlix\Code\flutterflix\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\WORK\FlutterFlix\Code\flutterflix\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\WORK\FlutterFlix\Code\flutterflix\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"c:\WORK\FlutterFlix\Code\flutterflix\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\WORK\FlutterFlix\Code\flutterflix\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\WORK\FlutterFlix\Code\flutterflix\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
